 written on 25Nov2024 at 13:34:33 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    4    4   -0.69897918E-02 -0.82424874E-06
    5    4    0.49894779E-04 -0.11601893E-04
    6    4   -0.12908013E-03 -0.58027136E-04
    1    5   -0.31364496E-04  0.15360409E-03
    2    5   -0.16943736E-02  0.19386198E-03
    3    5   -0.42940142E-02 -0.40653557E-02
    4    5    0.10614502E-03 -0.63697279E-04
    5    5    0.15463845E-02  0.10205150E-02
    6    5   -0.19645905E-02  0.59051883E-03
    1    6   -0.24452902E-04  0.18655536E-03
    2    6   -0.18445161E-02 -0.70610542E-03
    3    6   -0.34204565E-01  0.24546185E-02
    4    6    0.11764781E-03 -0.18574676E-05
    5    6    0.31462331E-02 -0.45105037E-03
    6    6   -0.57396007E-04 -0.48773856E-04

   -4    1    0
    1    1   -0.21739213E-02  0.19794194E-04
    2    1    0.37623408E-04 -0.12027703E-03
    3    1    0.23682660E-03 -0.84577667E-04
    4    1    0.34262505E-02  0.18923787E-02
    5    1   -0.26366198E-05 -0.18326844E-04
    6    1    0.45338267E-04  0.68035686E-04
    1    2    0.27645017E-04  0.11198822E-03
    2    2   -0.11387916E-02 -0.93818727E-03
    3    2   -0.16840421E-01  0.77806570E-03
    4    2   -0.41229040E-04  0.21752572E-05
    5    2    0.10432439E-02 -0.28761913E-03
    6    2    0.46435783E-03 -0.47878337E-03
    1    3    0.10646011E-03  0.17014466E-03
    2    3   -0.19915604E-01 -0.58692000E-03
    3    3   -0.11277576E-01 -0.51451875E-04
    4    3    0.36663639E-03  0.10038784E-03
    5    3    0.25696011E-01  0.31357091E-02
    6    3    0.26313301E-01 -0.53488611E-02
    1    4    0.87410389E-02 -0.35084757E-02
    2    4   -0.17335474E-04  0.61493322E-04
    3    4   -0.59372192E-04 -0.27452477E-03
    4    4   -0.10662968E-01 -0.20170641E-04
    5    4    0.13001145E-04  0.96871875E-05
    6    4    0.52305594E-04  0.54130446E-04
    1    5   -0.14634007E-05 -0.19983077E-05
    2    5    0.88800412E-03 -0.24161447E-03
    3    5    0.46559004E-01  0.18460757E-02
